name,distance,mass,radius
HD 83443 b,134,0.34 jupiters,2002
Kepler-426 b,2871,0.34 jupiters,2014
NGTS-11 b,625,0.344 jupiters,2020
Kepler-317 b,3151,0.345 jupiters,2014
Kepler-1563 b,1784,0.347 earths,2016
Kepler-378 b,498,0.347 earths,2014
KMT-2018-BLG-1990L b,3154,0.348 jupiters,2019
HD 47186 c,122,0.35061 jupiters,2008
HAT-P-44 b,1184,0.352 jupiters,2014
HATS-49 b,1059,0.353 jupiters,2020
HD 114613 b,66,0.357 jupiters,2014
HD 102843 b,205,0.35837 jupiters,2019
HD 113538 b,52,0.36 jupiters,2010
HIP 12961 b,76,0.36 jupiters,2010
WASP-13 b,747,0.36 jupiters,2009
Kepler-1402 b,2221,0.363 earths,2016
Kepler-1542 b,1096,0.363 earths,2016
Kepler-1542 e,1096,0.363 earths,2016
Kepler-1588 b,2146,0.363 earths,2016
Kepler-1619 b,1696,0.363 earths,2016
HD 164922 b,72,0.36497 jupiters,2005
HD 103774 b,184,0.367 jupiters,2013
HATS-47 b,984,0.369 jupiters,2020
Kepler-431 b,1610,0.37 earths,2015
HATS-71 b,460,0.37 jupiters,2020
HD 93083 b,93,0.37 jupiters,2005
Kepler-54 c,893,0.37 jupiters,2012
WASP-49 b,638,0.37 jupiters,2012
WASP-63 b,956,0.37 jupiters,2012
WASP-6 b,647,0.37 jupiters,2009
Qatar-8 b,903,0.371 jupiters,2019
Kepler-46 c,2592,0.376 jupiters,2012
Kepler-415 b,1756,0.377 jupiters,2014
Kepler-63 b,652,0.378 jupiters,2013
HD 149026 b,248,0.38 jupiters,2005
HD 34445 g,151,0.38 jupiters,2017
Kepler-1629 b,1272,0.381 earths,2016
Kepler-38 b,3966,0.384 jupiters,2012
K2-139 b,504,0.387 jupiters,2017
Kepler-33 c,4087,0.39 earths,2011
HATS-50 b,2339,0.39 jupiters,2017
OGLE-2012-BLG-0563L b,4241,0.39 jupiters,2015
WASP-153 b,1403,0.39 jupiters,2017
Kepler-42 b,126,0.399 earths,2011
Kepler-653 c,1934,0.399 earths,2016
Kepler-783 b,1775,0.399 earths,2016
HD 181720 b,197,0.4 jupiters,2009
HD 38283 b,124,0.4 jupiters,2010
NGC 2682 YBP 1514 b,3064,0.4 jupiters,2014
WASP-148 c,809,0.4 jupiters,2020
OGLE-2017-BLG-0373L b,19295,0.401 jupiters,2018
HD 11506 c,167,0.408 jupiters,2008
HIP 57274 c,84,0.40902 jupiters,2011
TRAPPIST-1 d,41,0.41 earths,2016
HD 102195 b,96,0.41 jupiters,2006
HD 126614 b,239,0.41 jupiters,2009
